x	y 	z	prob	kg/s	T 
428053	4519472	0	1	0.0012	300
428068	4519472	0	1	0.0016	300
428083	4519472	0	1	0.0019	300
428098	4519472	0	1	0.0019	300
428113	4519472	0	1	0.0019	300
428128	4519472	0	1	0.0015	300
428143	4519472	0	1	0.0014	300
428158	4519472	0	1	0.0017	300
428173	4519472	0	1	0.0018	300
428188	4519472	0	1	0.0018	300
428203	4519472	0	1	0.0022	300
428218	4519472	0	1	0.0022	300
428233	4519472	0	1	0.0017	300
428248	4519472	0	1	0.0016	300
428263	4519472	0	1	0.0017	300
428278	4519472	0	1	0.0018	300
428293	4519472	0	1	0.0029	300
428308	4519472	0	1	0.0032	300
427438	4519487	0	1	0.0054	300
427453	4519487	0	1	0.0083	300
427468	4519487	0	1	0.0099	300
427483	4519487	0	1	0.011	300
427498	4519487	0	1	0.011	300
427513	4519487	0	1	0.0092	300
427528	4519487	0	1	0.0076	300
427543	4519487	0	1	0.0073	300
427558	4519487	0	1	0.0096	300
427573	4519487	0	1	0.0093	300
427588	4519487	0	1	0.0087	300
427603	4519487	0	1	0.0063	300
427618	4519487	0	1	0.0038	300
427633	4519487	0	1	0.003	300
427648	4519487	0	1	0.0033	300
427663	4519487	0	1	0.003	300
427678	4519487	0	1	0.0035	300
427693	4519487	0	1	0.0036	300
427708	4519487	0	1	0.0027	300
427723	4519487	0	1	0.0025	300
427738	4519487	0	1	0.0022	300
427753	4519487	0	1	0.0017	300
427768	4519487	0	1	0.0016	300
427783	4519487	0	1	0.0019	300
427798	4519487	0	1	0.0015	300
427813	4519487	0	1	0.0015	300
427828	4519487	0	1	0.0016	300
427843	4519487	0	1	0.0016	300
427858	4519487	0	1	0.0022	300
427873	4519487	0	1	0.0023	300
427888	4519487	0	1	0.0029	300
427903	4519487	0	1	0.004	300
427918	4519487	0	1	0.0028	300
427933	4519487	0	1	0.0028	300
427948	4519487	0	1	0.0023	300
427963	4519487	0	1	0.0019	300
427978	4519487	0	1	0.0016	300
427993	4519487	0	1	0.0013	300
428008	4519487	0	1	0.0013	300
428023	4519487	0	1	0.0013	300
428038	4519487	0	1	0.0018	300
428053	4519487	0	1	0.0019	300
428068	4519487	0	1	0.0021	300
428083	4519487	0	1	0.0022	300
428098	4519487	0	1	0.0025	300
428113	4519487	0	1	0.0027	300
428128	4519487	0	1	0.0018	300
428143	4519487	0	1	0.0021	300
428158	4519487	0	1	0.0021	300
428173	4519487	0	1	0.0026	300
428188	4519487	0	1	0.0025	300
428203	4519487	0	1	0.0026	300
428218	4519487	0	1	0.0019	300
428233	4519487	0	1	0.0016	300
428248	4519487	0	1	0.0015	300
428263	4519487	0	1	0.0022	300
428278	4519487	0	1	0.0025	300
428293	4519487	0	1	0.0038	300
428308	4519487	0	1	0.0041	300
427408	4519502	0	1	0.0054	300
427423	4519502	0	1	0.0042	300
427438	4519502	0	1	0.0036	300
427453	4519502	0	1	0.0061	300
427468	4519502	0	1	0.01	300
427483	4519502	0	1	0.013	300
427498	4519502	0	1	0.01	300
427513	4519502	0	1	0.0073	300
427528	4519502	0	1	0.0062	300
427543	4519502	0	1	0.0083	300
427558	4519502	0	1	0.0073	300
427573	4519502	0	1	0.0097	300
427588	4519502	0	1	0.0087	300
427603	4519502	0	1	0.0062	300
427618	4519502	0	1	0.0052	300
427633	4519502	0	1	0.0041	300
427648	4519502	0	1	0.0034	300
427663	4519502	0	1	0.0037	300
427678	4519502	0	1	0.003	300
427693	4519502	0	1	0.0036	300
427708	4519502	0	1	0.0035	300
427723	4519502	0	1	0.0029	300
427738	4519502	0	1	0.0023	300
427753	4519502	0	1	0.0025	300
427768	4519502	0	1	0.0027	300
427783	4519502	0	1	0.0019	300
427798	4519502	0	1	0.0016	300
427813	4519502	0	1	0.0024	300
427828	4519502	0	1	0.0019	300
427843	4519502	0	1	0.0017	300
427858	4519502	0	1	0.0022	300
427873	4519502	0	1	0.0031	300
427888	4519502	0	1	0.0032	300
427903	4519502	0	1	0.0038	300
427918	4519502	0	1	0.0041	300
427933	4519502	0	1	0.0036	300
427948	4519502	0	1	0.003	300
427963	4519502	0	1	0.0026	300
427978	4519502	0	1	0.0021	300
427993	4519502	0	1	0.0015	300
428008	4519502	0	1	0.0017	300
428023	4519502	0	1	0.0027	300
428038	4519502	0	1	0.0031	300
428053	4519502	0	1	0.0032	300
428068	4519502	0	1	0.0035	300
428083	4519502	0	1	0.0038	300
428098	4519502	0	1	0.0036	300
428113	4519502	0	1	0.0032	300
428128	4519502	0	1	0.0027	300
428143	4519502	0	1	0.0029	300
428158	4519502	0	1	0.0029	300
428173	4519502	0	1	0.0026	300
428188	4519502	0	1	0.0032	300
428203	4519502	0	1	0.003	300
428218	4519502	0	1	0.003	300
428233	4519502	0	1	0.002	300
428248	4519502	0	1	0.0018	300
428263	4519502	0	1	0.0026	300
428278	4519502	0	1	0.0028	300
428293	4519502	0	1	0.0037	300
