flux
0.708
0.728
0.748
0.250
0.380
0.510
1.448
1.476
1.503
0.471
0.488
0.505
0.650
0.668
0.686
14.650
22.800
30.950
0.430
0.620
0.810
0.969
1.013
1.057
0.540
0.780
1.020
0.037
0.077
0.117
0.261
0.304
0.346
0.479
0.514
0.549
0.450
1.270
0.860
15.500
19.500
23.500
1.200
1.720
2.240
0.590
0.625
0.660
0.320
0.530
0.740
0.500
0.540
0.580
0.872
0.923
0.974
0.434
0.460
0.488









































