CO2/H2O,H2S/H2O,CO2,H2S
0.029,0.0108,,
0.029,0.0108,,
0.029,0.0108,,
0.03,0.011,,
0.03,0.0109,,
0.03,0.0143,,
0.03,0.0102,,
0.0299,0.0109,,
0.0299,0.0112,,
0.03,0.0108,,
0.03,0.0109,,
0.03,0.0104,,
0.03,0.0111,,
0.0316,0.011,,
0.032,0.0109,,
0.0322,0.0108,,
0.033,0.013,,
0.035,0.007,,
0.037,0.019,,
0.037,0.01,,
0.0385,0.011,,
0.039,0.01,,
0.0409,0.009,,
0.044,0.021,,
0.045,0.009,,
0.047,0.009,,
0.0482,0.009,,
0.0491,0.009,,
0.051,0.021,,
0.052,0.021,,
0.052,0.013,,
0.052,0.015,,
0.0573,0.028,,
0.059,0.014,,
0.059,0.04,,
0.0593,0.028,,
0.06,0.029,,
0.06,0.029,,
0.06,0.028,,
0.06,0.025,,
0.061,0.024,,
0.061,0.026,,
0.061,0.026,,
0.061,0.026,,
0.061,0.028,,
0.0607,0.028,,
0.061,0.029,,
0.061,0.023,,
0.0607,0.025,,
0.061,0.026,,
0.061,0.025,,
0.061,0.024,,
0.061,0.027,,
0.061,0.028,,
0.061,0.028,,
0.061,0.023,,
0.061,0.028,,
0.061,0.029,,
0.061,0.027,,
0.0611,0.025,,
0.061,0.026,,
0.061,0.025,,
0.061,0.027,,
0.061,0.025,,
0.061,0.028,,
0.061,0.026,,
0.061,0.026,,
0.061,0.028,,
0.061,0.027,,
0.061,0.028,,
0.061,0.027,,
0.061,0.026,,
0.061,0.026,,
0.061,0.026,,
0.061,0.027,,
0.061,0.026,,
0.061,0.026,,
0.061,0.028,,
0.061,0.028,,
0.061,0.025,,
0.061,0.024,,
0.061,0.027,,
0.061,0.033,,
0.061,0.03,,
0.061,0.029,,
0.061,0.028,,
0.061,0.03,,
0.061,0.031,,
0.062,0.028,,
0.062,0.028,,
0.062,0.031,,
0.062,0.03,,
0.062,0.027,,
0.062,0.032,,
0.062,0.028,,
0.062,0.031,,
0.062,0.029,,
0.062,0.031,,
0.062,0.031,,
0.062,0.031,,
0.062,0.031,,
0.062,0.03,,
0.062,0.03,,
0.062,0.029,,
0.062,0.031,,
0.062,0.031,,
0.062,0.03,,
0.062,0.013,,
0.062,0.03,,
0.062,0.031,,
0.062,0.031,,
0.062,0.029,,
0.062,0.031,,
0.062,0.031,,
0.062,0.032,,
0.062,0.03,,
0.062,0.026,,
0.063,0.03,,
0.063,0.029,,
0.063,0.031,,
0.063,0.03,,
0.063,0.029,,
0.063,0.03,,
0.063,0.029,,
0.063,0.018,,
0.063,0.029,,
0.063,0.029,,
0.063,0.03,,
0.063,0.029,,
0.063,0.03,,
0.063,0.03,,
0.063,0.03,,
0.064,0.029,,
0.064,0.03,,
0.064,0.03,,
0.064,0.031,,
0.0636,0.03,,
0.064,0.03,,
0.064,0.03,,
0.064,0.03,,
0.064,0.03,,
0.064,0.03,,
0.064,0.031,,
0.064,0.03,,
0.064,0.03,,
0.064,0.03,,
0.064,0.031,,
0.064,0.03,,
0.064,0.03,,
0.064,0.031,,
0.064,0.031,,
0.064,0.03,,
0.065,0.03,,
0.065,0.031,,
0.065,0.03,,
0.065,0.03,,
0.065,0.03,,
0.065,0.03,,
0.065,0.04,,
0.065,0.03,,
0.066,0.031,,
0.066,0.03,,
0.066,0.031,,
0.066,0.031,,
0.066,0.03,,
0.066,0.03,,
0.066,0.03,,
0.066,0.03,,
0.066,0.03,,
0.066,0.03,,
0.066,0.04,,
0.066,0.028,,
0.067,0.03,,
0.067,0.031,,
0.067,0.03,,
0.067,0.03,,
0.067,0.029,,
0.067,0.031,,
0.068,0.031,,
0.068,0.03,,
0.068,0.03,,
0.068,0.031,,
0.069,0.018,,
0.0694,0.012,,
0.0702,0.013,,
0.07,0.013,,
0.0707,0.013,,
0.0709,0.011,,
0.0709,0.011,,
0.071,0.012,,
0.071,0.012,,
0.071,0.011,,
0.071,0.012,,
0.0711,0.012,,
0.0711,0.013,,
0.0712,0.01,,
0.0712,0.011,,
0.0713,0.011,,
0.0713,0.011,,
0.0713,0.011,,
0.0714,0.012,,
0.0714,0.012,,
0.0714,0.012,,
0.0715,0.01,,
0.0715,0.012,,
0.0715,0.013,,
0.0716,0.012,,
0.0716,0.011,,
0.0716,0.011,,
0.0716,0.011,,
0.0716,0.012,,
0.0717,0.011,,
0.0717,0.012,,
0.0717,0.012,,
0.0717,0.011,,
0.0717,0.012,,
0.0718,0.012,,
0.0718,0.012,,
0.0718,0.012,,
0.0719,0.012,,
0.0719,0.012,,
0.0719,0.011,,
0.0719,0.012,,
0.0719,0.011,,
0.0719,0.012,,
0.0719,0.012,,
0.072,0.012,,
0.072,0.011,,
0.072,0.011,,
0.072,0.012,,
0.072,0.015,,
0.072,0.013,,
0.072,0.013,,
0.0721,0.013,,
0.0721,0.013,,
0.0721,0.014,,
0.0721,0.012,,
0.0721,0.012,,
0.0721,0.014,,
0.0722,0.013,,
0.0722,0.012,,
0.0722,0.014,,
0.0722,0.012,,
0.0723,0.014,,
0.0723,0.013,,
0.0723,0.014,,
0.0724,0.014,,
0.0724,0.014,,
0.0724,0.014,,
0.0724,0.013,,
0.0725,0.013,,
0.0725,0.013,,
0.0725,0.014,,
0.0726,0.014,,
0.0726,0.013,,
0.0728,0.006,,
0.0728,0.013,,
0.0728,0.014,,
0.0729,0.014,,
0.0729,0.013,,
0.0729,0.014,,
0.0732,0.014,,
0.0732,0.014,,
0.0733,0.013,,
0.0733,0.012,,
0.0734,0.013,,
0.0734,0.013,,
0.0735,0.014,,
0.0735,0.013,,
0.0736,0.013,,
0.074,0.013,,
0.0736,0.013,,
0.0738,0.008,,
0.0738,0.013,,
0.0738,0.013,,
0.0739,0.013,,
0.0743,0.013,,
0.0743,0.013,,
0.0744,0.013,,
0.0744,0.013,,
0.0744,0.013,,
0.0745,0.013,,
0.0746,0.013,,
0.0746,0.014,,
0.0747,0.013,,
0.0748,0.013,,
0.0748,0.013,,
0.0749,0.013,,
0.0749,0.013,,
0.075,0.013,,
0.0751,0.014,,
0.0751,0.013,,
0.0751,0.013,,
0.0753,0.013,,
0.0753,0.014,,
0.0754,0.013,,
0.0755,0.013,,
0.0759,0.014,,
0.0761,0.014,,
0.0762,0.013,,
0.0763,0.013,,
0.0764,0.014,,
0.0764,0.013,,
0.0765,0.013,,
0.0767,0.013,,
0.0769,0.013,,
0.0769,0.018,,
0.0769,0.013,,
0.077,0.014,,
0.077,0.013,,
0.0771,0.014,,
0.0772,0.014,,
0.0774,0.013,,
0.0775,0.013,,
0.0776,0.013,,
0.0778,0.013,,
0.0778,0.013,,
0.078,0.013,,
0.0781,0.018,,
0.0782,0.012,,
0.0783,0.013,,
0.079,0.014,,
0.0788,0.013,,
0.079,0.013,,
0.0794,0.013,,
0.08,0.014,,
0.0801,0.014,,
0.0853,0.013,,
0.0862,0.013,,
0.092,0.006,,
0.0929,0.004,,
0.128,0.004,,
1.531,0.063,,
